,egypt_irr,egypt_90,egypt_low_had,sudan_irr,sudan_90,ethiopia_hydro,EgyptIncome,SudanIncome,EthiopiaUtility,pol_efficiency,poa_egypt,poa_sudan,poa_ethiopia,policy_name,total gains,ss_pi_Egypt,ss_pi_Sudan,ss_pi_Ethiopia,ss_fairness,dif_Egypt,dif_Sudan,dif_Ethiopia,totaldist,pd_egypt,pd_sudan,pd_ethiopia,avg_pd,rank_totaldist,rank_PI,rank_PD,Total Policy Efficiency,"Policy Efficiency, Egypt","Policy Efficiency, Sudan","Policy Efficiency, Ethiopia"
19,4.718079287,1.321815688,0.266666667,0,0,14.42119918,5.705356302,0.496391231,0.480173996,0.931207018,0.902634706,1,0.953070197,19,0.632045422,0.917041895,0.056112297,0.026845808,1.517154594,-0.368926302,0.175216769,0.193634004,0.451997411,0.008877061,-0.077113029,-0.296392552,-0.12154284,343,343,350,0.931207018,0.902634706,1,0.953070197
20,4.687098094,1.263777009,0.279166667,0,0,14.38155605,5.707086211,0.496182578,0.478652741,0.931598607,0.90328808,1,0.950450257,20,0.632045422,0.919778896,0.055782172,0.024438931,1.524355465,-0.370656211,0.175425422,0.195155259,0.454142797,0.008571255,-0.076724938,-0.294156345,-0.12077001,351,351,358,0.931598607,0.90328808,1,0.950450257
21,4.00551387,1.079788159,0.308333333,0,0,13.85658582,5.755724415,0.480029883,0.446167231,0.962946298,0.941640383,1,0.915755952,21,0.632045422,0.99673255,0.030225947,-0.026958497,1.725694832,-0.419294415,0.191578117,0.227640769,0.514130627,4.84E-05,-0.04565733,-0.242763752,-0.096124221,440,440,449,0.962946298,0.941640383,1,0.915755952
22,6.298671283,1.586461526,0.004166667,0.263100669,0,13.60356579,5.679288827,0.517137143,0.485495559,0.868782375,0.838277817,0.971955523,0.899034329,22,0.632045422,0.875798855,0.088935747,0.035265398,1.411664205,-0.342858827,0.154470857,0.188312441,0.420565092,0.013507725,-0.114136344,-0.30410486,-0.13491116,258,258,240,0.868782375,0.838277817,0.971955523,0.899034329
23,7.347503843,0.905470031,0.783333333,0.263229687,0,15.03418147,5.481638595,0.589078989,0.611203945,0.76267084,0.710281587,0.971941964,0.993581055,23,0.632045422,0.563083621,0.202759602,0.234156777,0.598763788,-0.145208595,0.082529011,0.062604055,0.178369956,0.050051549,-0.222323308,-0.447231971,-0.206501243,25,25,35,0.76267084,0.710281587,0.971941964,0.993581055
24,7.975323649,1.991876614,0.008333333,0.009038652,0,14.81811917,5.530803061,0.577023251,0.574095217,0.800299705,0.752010436,0.999023326,0.9793019,24,0.632045422,0.640869908,0.183685437,0.175444655,0.799099071,-0.194373061,0.094584749,0.099712783,0.238054198,0.040717421,-0.206075319,-0.411501803,-0.192286567,37,37,46,0.800299705,0.752010436,0.999023326,0.9793019
25,6.105718098,1.510335278,0.025,0,0,13.18760969,5.687766229,0.527519666,0.466635634,0.876257376,0.846752409,1,0.871544565,25,0.632045422,0.889211501,0.105362609,0.005425889,1.451972852,-0.351336229,0.144088334,0.207172366,0.432572517,0.01199713,-0.131571713,-0.275978997,-0.131851193,293,293,273,0.876257376,0.846752409,1,0.871544565
26,4.611484185,1.159109474,0.475,0,0,14.15795667,5.700496033,0.503379737,0.478045759,0.918278914,0.889345016,1,0.93567299,26,0.632045422,0.90935215,0.067169264,0.023478586,1.497975063,-0.364066033,0.168228263,0.195762241,0.446282064,0.009737235,-0.089925624,-0.293260124,-0.124482838,326,326,325,0.918278914,0.889345016,1,0.93567299
27,4.586769118,1.313806945,0.179166667,0.136959058,0,13.59702201,5.749366361,0.484280396,0.448274772,0.940465794,0.918641379,0.985302424,0.898601863,27,0.632045422,0.986673061,0.03695096,-0.02362402,1.699856577,-0.412936361,0.187327604,0.225533228,0.506431936,0.001154343,-0.054033564,-0.24632386,-0.09973436,431,431,437,0.940465794,0.918641379,0.985302424,0.898601863
28,4.578421206,1.23188039,0.3875,0,0,14.33421306,5.704969556,0.49806499,0.478886983,0.928077675,0.8995404,1,0.947321447,28,0.632045422,0.91643,0.058760459,0.024809541,1.515785316,-0.368539556,0.17354301,0.194921017,0.451589176,0.008945454,-0.080214412,-0.2945016,-0.121923519,341,341,345,0.928077675,0.8995404,1,0.947321447
