,egypt_irr,egypt_low_had,sudan_irr,ethiopia_hydro,EgyptIncome,SudanIncome,EthiopiaUtility,pol_efficiency,poa_egypt,poa_sudan,poa_ethiopia,policy_name,total gains,ss_pi_Egypt,ss_pi_Sudan,ss_pi_Ethiopia,ss_fairness,dif_Egypt,dif_Sudan,dif_Ethiopia,totaldist,pd_egypt,pd_sudan,pd_ethiopia,avg_pd,rank_totaldist,rank_PI,rank_PD
386,10.561136179513875,0.0708333333333333,0.71220361167299,15.128824012009725,5.378969915527708,0.6216201486753911,0.6813314648074977,0.6884782542329867,0.6291763051111291,0.9258592480000296,0.9998358046187238,386,0.6320454220105973,0.40064485353311,0.25424507808980973,0.3451100683770802,0.22172094986293323,-0.042539915527708416,0.04998785132460892,-0.007523464807497771,0.06606839044403483,0.07009393813188902,-0.26303386243803084,-0.5041268201293818,-0.23235558147850788,3,3,14
378,10.421204300093152,0.0958333333333333,0.6612924048153588,15.110695226105149,5.382732218269569,0.6220005158472184,0.6771887948938101,0.6918599403023196,0.6327089471286216,0.9309762211395327,0.9986377069194395,378,0.632045422010598,0.4065974363868746,0.25484688162889263,0.33855568198423264,0.22802984827147607,-0.04630221826956937,0.0496074841527816,-0.0033807948938101573,0.06794282651439616,0.06934598761266808,-0.2634845336486409,-0.5010933397783421,-0.23174396193810498,4,4,15
396,10.40131415016915,0.0916666666666666,0.66861977770978,15.10615962638582,5.385327819902639,0.620598338940188,0.6759953701677696,0.692873338781839,0.6339412492844588,0.9302380885568732,0.9983379575806143,396,0.6320454220105969,0.41070410584872047,0.25262840672471626,0.3366674874265634,0.23727172589504542,-0.048897819902639306,0.05100966105981197,-0.002187370167769598,0.07069488596015057,0.06883058794071006,-0.2618204541405452,-0.5002125533549868,-0.23106747318494067,5,5,16
472,10.337564960553,0.1041666666666666,0.664601646717076,15.108217256825377,5.3875441007489,0.619634043510984,0.6747433847507129,0.6942535166351645,0.6354654488403464,0.9306427903936184,0.9984739425444494,472,0.6320454220105969,0.41421062732499425,0.25110273246836845,0.3346866402066374,0.24468710486423315,-0.05111410074889999,0.05197395648901604,-0.0009353847507129753,0.07290280099641369,0.0683909017468427,-0.2606716741962237,-0.49928519843907504,-0.23052199029615203,6,6,17
356,9.46213067772287,0.5416666666666666,0.7352456236111901,15.115342809930358,5.386106802504776,0.6176969359111256,0.6781177905946961,0.6911246216358967,0.6324327362080553,0.9235522500727852,0.9989448570792749,356,0.632045422010598,0.4119365846785781,0.2480379090673912,0.34002550625403083,0.24646205723230682,-0.04967680250477624,0.05391106408887436,-0.004309790594696161,0.07343542628230187,0.06867600496210091,-0.25835312858681014,-0.501776823015204,-0.23048464887997108,7,7,18
424,10.250143354177522,0.1375,0.660731883271788,15.111630608989442,5.3881698555029205,0.6193967942248152,0.6743548792828625,0.6948104268764254,0.6360490684982387,0.9310327092621511,0.9986995246323036,424,0.6320454220105982,0.41520067445171716,0.2507273650059883,0.33407196054229465,0.24671742747241598,-0.051739855502920484,0.05221120577518479,-0.0005468792828625668,0.07350729033852223,0.06826682423929387,-0.26038848720013863,-0.49899672949754836,-0.23037279748613104,8,8,19
178,10.23000099650707,0.125,0.6686090200250264,15.106118997565863,5.392122773265648,0.6173472600957419,0.6724514956492073,0.6965229647475571,0.6380845481519807,0.9302391718328074,0.9983352724975664,178,0.6320454220105969,0.42145484167620717,0.24748466431122942,0.3310604940125633,0.2610220680676365,-0.05569277326564759,0.05426073990425806,0.0013565043507927088,0.07776730028122421,0.06748368722954257,-0.25793304739223577,-0.497578632531965,-0.22934266423155272,9,9,20
401,9.459627699189337,0.4916666666666666,0.6941325679800252,15.12495517276056,5.391455267427312,0.6163757935735019,0.6740904680097839,0.6956958495768677,0.6372479316538967,0.92767242119209,0.9995801202376666,401,0.6320454220105978,0.42039873745475326,0.2459476442041145,0.33365361834113233,0.2616779629402405,-0.05502526742731195,0.055232206426498065,-0.0002824680097839316,0.07796445645525302,0.06761585035771667,-0.25676347972063784,-0.4988002114946144,-0.22931594695251187,10,10,21
282,10.132740411260716,0.1333333333333333,0.662393194408937,15.104443382369976,5.397340730634883,0.6151009973916934,0.6694798009840228,0.6995370955978164,0.6414659393116128,0.9308652956143068,0.9982245342097599,282,0.6320454220105993,0.4297105099992774,0.2439307065958116,0.3263587834049111,0.2792582207987275,-0.06091073063488306,0.056507002608306545,0.004328199015977141,0.08319790716702163,0.0664516819050125,-0.25522312279998505,-0.4953484787690211,-0.2280399732213312,11,11,22
415,10.09483529354634,0.1458333333333333,0.6777561452963672,15.10247507702221,5.398970445688089,0.6138299301618737,0.6691211531606356,0.699820838676387,0.6419198956098069,0.9293185146206379,0.9980944525748915,415,0.6320454220105987,0.43228898774225716,0.24191966880397667,0.32579134345376626,0.28622548010419036,-0.06254044568808936,0.05777806983812628,0.004686846839364378,0.0852735553051467,0.0661297663885263,-0.25368090168038804,-0.49507798639435385,-0.22754304056207186,12,12,23
225,10.013378493833075,0.1833333333333333,0.6808246177048252,15.10034092429097,5.399190886593392,0.6136633704981433,0.669067271919063,0.6997782958951854,0.6419070807905943,0.929009869880527,0.9979534103953063,225,0.6320454220105989,0.43263776157658335,0.24165614397185214,0.3257060944515644,0.2871569793841804,-0.0627608865933924,0.05794462950185664,0.004740728080936951,0.08555105771896383,0.06608623790142332,-0.2534783367823874,-0.49503732407812306,-0.22747647431969573,13,13,24
342,9.540313225166958,0.4041666666666667,0.6959628125878741,15.12378688106985,5.39912304953312,0.6126746746620659,0.6701238048154124,0.6997598258692055,0.6418820733228838,0.9274886267094152,0.9995029100155316,342,0.6320454220105987,0.432530432169693,0.2400918642513659,0.327377703578941,0.2890722656179322,-0.06269304953312016,0.05893332533793405,0.003684195184587513,0.08612275302907574,0.06609963269826569,-0.2522736470987932,-0.49583346006778106,-0.2273358248227695,14,14,25
